District,treatment,nobs,min,max,average,sd,median,var
Bardiya,Areaundersolar,8,1,22,11.125,7.31803057034961,11,53.55357142857143
Bardiya,x.area,8,1.05,62.25,21.4125,19.496625165836853,19.375,380.11839285714285
Bardiya,x.ci,8,85,366.176471,172.71023525,87.25211460364261,157.125,7612.931502807183
Bardiya,x.crop,8,0,8,3.375,2.326094212561969,3.5,5.410714285714286
Bardiya,x.income,8,0,32000,10208.125,9990.582686245796,7132.5,99811742.41071428
Bardiya,x.kg,8,355,4685,1972.75,1656.8064590823947,1328.5,2745007.6428571427
Bardiya,y.area,8,1.925,64.65,24.684375,20.03707696059982,19.7,401.4844531250001
Bardiya,y.ci,8,156.25,380.294118,215.825861125,72.22759593493281,199.107143,5216.825614539922
Bardiya,y.crop,8,2,12,8.375,3.6620642110310255,9,13.410714285714286
Bardiya,y.income,8,0,148670,51018.125,51440.27271211175,35925,2646101656.696429
Bardiya,y.kg,8,615,7165,3298.75,2226.4894693536858,2880,4957255.357142857
Mahottari,Areaundersolar,43,0.5,60,7.941860465116279,10.354984595839168,5,107.22570598006645
Mahottari,x.area,43,0,80,9.340116279069768,14.603998086318859,3.05,213.2767601052049
Mahottari,x.ci,43,0,285.714286,109.86351053488372,74.53155786991624,105,5554.953118516674
Mahottari,x.crop,43,0,7,2.604651162790698,1.293565299835726,2,1.6733111849390918
Mahottari,x.income,43,0,6300,146.51162790697674,960.7409930954094,0,923023.2558139535
Mahottari,x.kg,43,0,5150,902.0930232558139,1126.0159394531443,480,1267911.895902547
Mahottari,y.area,43,1.125,110,13.402906976744186,18.520727777809167,8,343.0173574197121
Mahottari,y.ci,43,70.5,295,177.2425803023256,55.33136637958537,185,3061.5601054319104
Mahottari,y.crop,43,1,14,7.558139534883721,4.283425006882957,7,18.347729789590254
Mahottari,y.income,43,0,200000,21348.372093023256,39106.759428532394,2800,1529338633.0011075
Mahottari,y.kg,43,313,11700,2410.186046511628,2522.0809742657048,1490,6360892.4407530455
Nawalpur,Areaundersolar,48,0.5,20,6.421875,4.127024406534042,6,17.03233045212766
Nawalpur,x.area,48,0,60,14.977083333333333,11.918272036387378,12,142.04520833333333
Nawalpur,x.ci,48,0,388.235294,217.53188079166668,86.55001680291268,200,7490.905408584467
Nawalpur,x.crop,48,0,8,2.6666666666666665,1.2434224104382798,3,1.5460992907801419
Nawalpur,x.income,48,0,42000,6315.483333333334,10639.715293569981,0,113203541.52822696
Nawalpur,x.kg,48,0,3260.8,1061.8163541666668,939.6623696713191,878.1500000000001,882965.3689763187
Nawalpur,y.area,48,1,46.55,14.385416666666666,11.198736432965795,12.25,125.41169769503546
Nawalpur,y.ci,48,62.5,342,211.69860972916666,69.12705491341646,212.60416650000002,4778.549721002494
Nawalpur,y.crop,48,1,14,6.541666666666667,3.7584420342507205,6,14.125886524822695
Nawalpur,y.income,48,0,122493.31,17782.977291666666,24340.443565527403,8575,592457192.9666244
Nawalpur,y.kg,48,0,4669.05,1552.74125,1180.3279467176314,1368.6,1393174.0618026596
